Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-01-16 00:00:00,2022-01-15T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,223.0,413.4,31.0,37.3,155.7,110.0,68.0,100,0.0,1017,88,18.9,0.0,1.33
2022-01-16 01:00:00,2022-01-15T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,227.0,430.7,33.0,36.0,160.0,113.0,74.0,100,0.0,1017,88,18.8,0.0,1.0
2022-01-16 02:00:00,2022-01-15T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,219.0,431.3,32.0,36.3,152.3,107.67,68.0,100,0.0,1016,90,18.6,0.0,1.0
2022-01-16 03:00:00,2022-01-15T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,212.0,431.9,31.0,36.7,144.7,102.33,62.0,100,0.0,1016,92,18.4,0.0,1.0
2022-01-16 04:00:00,2022-01-15T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,205.0,432.4,30.0,37.0,137.0,97.0,56.0,100,0.0,1015,93,18.2,0.0,1.0
2022-01-16 05:00:00,2022-01-15T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,199.0,402.5,26.3,40.7,130.3,92.33,48.3,91,0.0,1016,94,18.1,0.0,1.0
2022-01-16 06:00:00,2022-01-15T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,193.0,372.5,22.7,44.3,123.7,87.67,40.7,83,0.0,1016,95,18.1,0.0,1.0
2022-01-16 07:00:00,2022-01-16T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,187.0,342.6,19.0,48.0,117.0,83.0,33.0,75,0.0,1017,96,18.0,0.6,1.0
2022-01-16 08:00:00,2022-01-16T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,169.0,297.6,15.0,60.7,97.7,69.33,26.3,75,0.0,1017,94,19.0,0.7,1.33
2022-01-16 09:00:00,2022-01-16T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,150.0,252.7,11.0,73.3,78.3,55.67,19.7,75,0.0,1017,91,20.0,2.2,1.66
2022-01-16 10:00:00,2022-01-16T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,118.0,207.8,7.0,86.0,59.0,42.0,13.0,75,0.5,1018,88,21.0,2.3,2.0
2022-01-16 11:00:00,2022-01-16T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,111.0,192.4,5.7,90.0,55.3,39.33,12.0,70,0.0,1017,83,22.2,3.7,2.33
2022-01-16 12:00:00,2022-01-16T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,103.0,177.0,4.3,94.0,51.7,36.67,11.0,66,0.0,1016,79,23.4,3.8,2.66
2022-01-16 13:00:00,2022-01-16T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,98.0,161.7,3.0,98.0,48.0,34.0,10.0,62,0.0,1015,74,24.6,3.9,3.0
2022-01-16 14:00:00,2022-01-16T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,109.0,171.0,4.7,92.3,54.3,38.67,13.0,75,0.0,1015,75,23.9,3.3,3.0
2022-01-16 15:00:00,2022-01-16T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121.0,180.3,6.3,86.7,60.7,43.33,16.0,87,0.5,1015,75,23.3,2.3,3.0
2022-01-16 16:00:00,2022-01-16T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134.0,189.7,8.0,81.0,67.0,48.0,19.0,100,0.0,1015,75,22.6,1.6,3.0
2022-01-16 17:00:00,2022-01-16T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,140.0,219.4,10.0,73.7,70.7,50.33,22.3,100,0.5,1016,79,21.6,1.2,2.66
2022-01-16 18:00:00,2022-01-16T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,147.0,249.2,12.0,66.3,74.3,52.67,25.7,100,0.0,1016,83,20.7,0.0,2.33
2022-01-16 19:00:00,2022-01-16T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153.0,279.0,14.0,59.0,78.0,55.0,29.0,100,0.0,1016,88,19.7,0.0,2.0
2022-01-16 20:00:00,2022-01-16T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137.0,304.8,14.0,57.0,69.7,49.0,31.3,100,0.0,1017,88,18.7,0.0,3.33
2022-01-16 21:00:00,2022-01-16T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121.0,330.7,14.0,55.0,61.3,43.0,33.7,100,0.0,1017,88,17.7,0.0,4.66
2022-01-16 22:00:00,2022-01-16T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,104.0,356.6,14.0,53.0,53.0,37.0,36.0,100,0.0,1018,89,16.7,0.0,6.0
2022-01-16 23:00:00,2022-01-16T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,106.0,360.1,14.0,52.7,53.7,37.67,38.3,100,0.0,1018,89,16.3,0.0,5.33
